Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-06-08 00:00:00+07:00,98.29192040671768,101.10026098976674,98.29192040671768,99.6960906982422,499150000,0.0,0.0
2004-06-09 00:00:00+07:00,99.69607257843018,102.504412651062,98.29190254211426,101.1002426147461,294290000,0.0,0.0
2004-06-10 00:00:00+07:00,101.1002426147461,101.1002426147461,99.69607257843018,101.1002426147461,165590000,0.0,0.0
2004-06-11 00:00:00+07:00,99.69607257843018,101.1002426147461,99.69607257843018,101.1002426147461,135830000,0.0,0.0
2004-06-14 00:00:00+07:00,101.10026098976674,101.10026098976674,98.29192040671768,99.6960906982422,158540000,0.0,0.0
2004-06-15 00:00:00+07:00,98.29192906209867,102.5044403076172,98.29192906209867,102.5044403076172,297620000,0.0,0.0
2004-06-16 00:00:00+07:00,102.504412651062,102.504412651062,99.69607257843018,101.1002426147461,104270000,0.0,0.0
2004-06-17 00:00:00+07:00,99.6960906982422,99.6960906982422,98.29192040671768,99.6960906982422,350150000,0.0,0.0
2004-06-18 00:00:00+07:00,98.29192040671768,99.6960906982422,98.29192040671768,99.6960906982422,263260000,0.0,0.0
2004-06-21 00:00:00+07:00,99.6960906982422,99.6960906982422,98.29192040671768,99.6960906982422,331870000,0.0,0.0
2004-06-22 00:00:00+07:00,99.6960906982422,101.10026098976674,99.6960906982422,99.6960906982422,56870000,0.0,0.0
2004-06-23 00:00:00+07:00,101.1002426147461,101.1002426147461,99.69607257843018,101.1002426147461,469190000,0.0,0.0
2004-06-24 00:00:00+07:00,101.1002426147461,101.1002426147461,99.69607257843018,101.1002426147461,191310000,0.0,0.0
2004-06-25 00:00:00+07:00,101.10026989244436,102.5044403076172,101.10026989244436,102.5044403076172,154310000,0.0,0.0
2004-06-28 00:00:00+07:00,102.5044403076172,102.5044403076172,101.10026989244436,102.5044403076172,260860000,0.0,0.0
2004-06-29 00:00:00+07:00,102.5044596904033,103.90863037109376,102.5044596904033,103.90863037109376,123060000,0.0,0.0
2004-06-30 00:00:00+07:00,103.90860432942708,105.31277465820312,102.50443400065105,105.31277465820312,291260000,0.0,0.0
2004-07-01 00:00:00+07:00,114.88665599554356,114.88665599554356,111.69535999566736,113.29100799560548,203090000,22.5,0.0
2004-07-02 00:00:00+07:00,113.29100969102647,114.88665771484376,113.29100969102647,114.88665771484376,490800000,0.0,0.0
2004-07-05 00:00:00+07:00,114.88665771484376,114.88665771484376,114.88665771484376,114.88665771484376,0,0.0,0.0
2004-07-06 00:00:00+07:00,116.4823329671224,119.6736297607422,114.8866845703125,119.6736297607422,826610000,0.0,0.0
2004-07-07 00:00:00+07:00,118.0779813639323,121.26927815755208,116.4823329671224,119.6736297607422,382570000,0.0,0.0
2004-07-08 00:00:00+07:00,119.6736297607422,121.26927815755208,118.0779813639323,119.6736297607422,284740000,0.0,0.0
2004-07-09 00:00:00+07:00,118.07796779431794,121.2692642211914,118.07796779431794,121.2692642211914,381140000,0.0,0.0
2004-07-12 00:00:00+07:00,121.2692642211914,124.46056064806486,119.67361600775467,121.2692642211914,478410000,0.0,0.0
2004-07-13 00:00:00+07:00,121.26929582868304,122.8649444580078,119.67364719935826,122.8649444580078,133420000,0.0,0.0
