date,forecast,actual,lower_ci,upper_ci
2025-01-02,9251.21644633781,9604.4775390625,8995.442857709511,9498.192760868162
2025-01-03,9262.20279972574,9555.970703125,8996.476486736334,9519.760311591173
2025-01-06,9277.859988219987,9386.1943359375,9027.171878190447,9541.414786109543
2025-01-07,9295.309641754948,9240.671875,9038.1538085916,9562.379190638729
2025-01-08,9320.53098648588,9386.1943359375,9058.256869822411,9567.214630898416
2025-01-09,9335.687935852095,9555.970703125,9061.390927701525,9566.39091125942
2025-01-10,9344.961063779541,9434.7021484375,9105.544398276637,9595.02042416906
2025-01-13,9349.652845355988,9386.1943359375,9087.493250431005,9611.871191336779
2025-01-14,9361.786983244578,9240.671875,9100.644192932554,9616.438805473857
2025-01-15,9381.041193001161,9507.462890625,9114.580197658517,9631.983259904728
2025-01-16,9389.68119441119,9458.955078125,9121.041137714818,9646.828966127736
2025-01-17,9392.036707312853,9604.4775390625,9126.16681007925,9641.29473055322
2025-01-20,9375.123461056584,9337.6865234375,9113.212550764752,9634.410557898867
2025-01-21,9380.320487205841,9289.1796875,9135.934765101421,9641.433454925624
2025-01-22,9393.022951395587,9313.4326171875,9130.574199235203,9642.049113323788
2025-01-23,9395.604497649494,9313.4326171875,9160.05656849656,9659.038350296043
2025-01-24,9392.523502965398,9070.8955078125,9143.336138870683,9651.97594733263
2025-01-30,9381.019192760581,8876.8662109375,9126.650247593874,9633.68507446076
2025-01-31,9378.564553965734,9167.9111328125,9108.963639276011,9658.695479473987
2025-02-03,9356.363950726889,9070.8955078125,9100.534385237132,9615.489674838367
2025-02-04,9362.748409325883,8901.1201171875,9115.585062005974,9628.194231129597
2025-02-05,9377.936273174573,8852.6123046875,9129.69735151385,9645.34545135919
2025-02-06,9384.07740959017,8682.8359375,9113.583603434658,9631.979270422238
2025-02-07,9385.443668460412,9070.8955078125,9119.34824094433,9651.804432093508
2025-02-10,9373.235945869732,8876.8662109375,9107.182619478515,9650.29503487244
2025-02-11,9381.970597433166,8804.1044921875,9124.34395812495,9638.78723364113
2025-02-12,9398.786286450346,8876.8662109375,9131.252652153209,9689.980573969757
2025-02-13,9405.686639243238,8731.34375,9146.248843628004,9673.357075879365
2025-02-14,9406.852258773913,8707.08984375,9138.79265410436,9665.225723095791
2025-02-17,9387.673003639411,9046.6416015625,9123.127646752588,9649.759414446333
2025-02-18,9391.907648343678,9022.388671875,9125.65676465185,9648.349294816408
2025-02-19,9403.163795175446,8682.8359375,9148.609402117512,9658.332874892034
2025-02-20,9403.471983192376,8731.34375,9159.46582837904,9655.194860573814
2025-02-21,9397.099976870364,8731.34375,9141.598349452748,9656.268576214401
2025-02-24,9350.793790850521,8658.58203125,9101.265984951911,9610.46598601643
2025-02-25,9344.982617688624,8561.5673828125,9079.779381718145,9600.720227247528
2025-02-26,9345.964679534747,8513.0595703125,9097.02182191355,9601.951077438796
2025-02-27,9335.917494540674,8270.5224609375,9098.416225582867,9601.3676799117
2025-02-28,9319.293916557092,8173.5078125,9055.984748207267,9570.113914607531
2025-03-03,9244.619065082308,8537.3134765625,8986.408290537325,9517.29551708266
2025-03-04,9230.716729175085,8585.8212890625,8972.953813505648,9496.85581613528
2025-03-05,9224.530602156698,8731.34375,8961.150020084258,9478.971315113382
2025-03-06,9208.326397943913,8707.08984375,8950.291016848198,9457.372903678819
2025-03-07,9186.65947371765,8658.58203125,8913.720670614784,9447.622227455387
2025-03-10,9104.169534507333,8658.58203125,8827.451252140998,9358.631494749498
2025-03-11,9090.213712614777,8658.58203125,8821.339430438908,9358.653824904019
2025-03-12,9085.234695249826,8852.6123046875,8821.785618995202,9347.229376867721
2025-03-13,9071.424662659834,8707.08984375,8807.453115859547,9349.415490174008
2025-03-14,9053.279689784787,8488.806640625,8812.464355578379,9322.94674975925
2025-03-17,8987.21590457704,8343.2841796875,8722.804971140891,9222.394827977889
2025-03-18,8980.339341372972,8052.23876953125,8705.512235313492,9239.174842975544
2025-03-19,8983.03047440576,8076.49267578125,8713.468745269325,9236.933769999056
2025-03-20,8977.316687833956,8125.0,8697.2575552235,9248.169419497346
2025-03-21,8967.563334975051,7900.0,8715.528904477156,9239.570326930147
2025-03-24,8927.137968993922,7950.0,8657.195771493869,9191.381409059948
2025-03-25,8928.581949436782,8050.0,8663.339622318905,9181.179899207586
2025-03-26,8939.303462524173,8525.0,8696.329821585612,9190.305895334192
2025-03-27,8941.211593041458,8500.0,8680.095483230085,9201.775411497481
2025-04-08,8932.503504141652,7775.0,8683.760415669198,9191.726627065507
2025-04-09,8947.527910683184,7925.0,8695.183752400711,9212.517344932432
2025-04-10,8952.613638682575,8225.0,8692.676941923384,9214.112739950924
2025-04-11,8952.113809090775,8275.0,8689.565889309484,9222.604744498101
2025-04-14,8930.186758370097,8400.0,8680.516580321051,9189.642599498198
2025-04-15,8934.858264145063,8575.0,8664.103268391658,9194.836652780787
2025-04-16,8947.407460429884,8475.0,8661.559449150987,9222.043059502037
2025-04-17,8949.708524456733,8500.0,8702.768176970052,9217.973174475803
2025-04-21,8913.38971812821,8300.0,8648.16210532939,9182.56282545499
2025-04-22,8914.005034623251,8500.0,8638.402360932776,9163.139053003504
2025-04-23,8922.310622632318,8725.0,8656.75503998684,9189.437299933852
2025-04-24,8920.18153305915,8475.0,8641.99809132726,9174.469142755628
2025-04-25,8912.033318036247,8600.0,8651.271488545499,9160.572892496548
2025-04-28,8865.210076666324,8775.0,8595.784094771112,9135.103613548325
2025-04-29,8861.245969499538,8725.0,8589.902368519934,9125.096277884295
2025-04-30,8865.15439162847,8825.0,8607.106459467277,9129.898818966503
2025-05-02,8846.895734111156,8975.0,8590.557859923114,9111.162433183035
2025-05-05,8791.591565154156,8975.0,8516.533044748594,9065.716926970894
2025-05-06,8786.143756468276,9025.0,8521.895374433581,9062.128014445065
2025-05-07,8789.393620009128,9075.0,8516.367707954974,9044.991683326261
2025-05-08,8783.323769519668,8975.0,8508.66190820543,9048.015482635916
2025-05-09,8772.522095074071,9000.0,8518.606765430275,9056.070727300134
2025-05-14,8736.550123938723,9275.0,8457.85660505314,9003.487463446034
2025-05-15,8737.909558600382,9275.0,8437.660748831173,9011.415106414885
2025-05-16,8735.456575232767,9300.0,8473.675390467066,9014.254683166517
2025-05-19,8719.373373309818,9500.0,8447.071862075716,8995.307785694375
2025-05-20,8730.213551464363,9475.0,8457.202629391679,9010.85753376477
2025-05-21,8751.064531161177,9700.0,8490.257183214275,9012.716739567599
2025-05-22,8763.615417966388,9650.0,8490.797932901069,9036.933737799453
2025-05-23,8772.196688516833,9675.0,8497.23092777312,9037.59694034011
2025-05-26,8786.224960456544,9625.0,8493.970169801496,9065.096579076844
2025-05-27,8805.454391017976,9450.0,8524.348236795418,9086.7180398034
2025-05-28,8833.554737248294,9400.0,8574.968195406638,9126.067453721105
2025-06-02,8882.449790466702,9100.0,8617.86052864331,9139.08860511898
2025-06-03,8899.32976591137,9050.0,8637.382133739491,9184.146808423522
2025-06-04,8923.32930700915,8975.0,8642.733774694785,9177.076806525716
2025-06-05,8935.957521574272,8925.0,8657.119181924088,9199.451606704442
2025-06-10,8932.310008998618,9100.0,8641.241386729986,9222.674200550702
2025-06-11,8943.057852622529,9050.0,8664.264893803827,9210.900264706379
2025-06-12,8941.929880772343,9125.0,8673.636763833229,9203.014436561252
