Model,MAE,RMSE,MAPE,R2
ARIMA,1276.200442548659,1310.4112440106026,13.816611653466406,-20.218097954942333
Prophet,463.1709855263101,551.7582069104993,5.332311727855672,-0.4302395087511221
Ensemble,272.5418455508971,308.50164578302315,2.970835996379736,-0.1759969589602246
