Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA10,MA20,MA50,MA200,EMA5,EMA10,EMA20,EMA50,EMA200,BB_Upper,BB_Middle,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,%K,%D,ATR,OBV,Return,Volatility_21
2004-06-08 00:00:00+07:00,98.29192040671768,101.10026098976674,98.29192040671768,99.6960906982422,499150000,0.0,0.0,,,,,,99.6960906982422,99.6960906982422,99.6960906982422,99.6960906982422,99.6960906982422,,,,,0.0,0.0,0.0,,,,0,,
2004-06-09 00:00:00+07:00,99.69607257843018,102.504412651062,98.29190254211426,101.1002426147461,294290000,0.0,0.0,,,,,,100.16414133707684,99.95139104669745,99.82981945219495,99.75115547928158,99.71006235910293,,,,,0.11201211869547478,0.022402423739094957,0.08960969495637983,,,,294290000,0.014084322731910737,
2004-06-10 00:00:00+07:00,101.1002426147461,101.1002426147461,99.69607257843018,101.1002426147461,165590000,0.0,0.0,,,,,,100.47617509629994,100.16027314997902,99.95081213434267,99.80406085714294,99.72389499846257,,,,,0.19849440976804544,0.05762082094488506,0.14087358882316037,,,,294290000,0.0,
2004-06-11 00:00:00+07:00,99.69607257843018,101.1002426147461,99.69607257843018,101.1002426147461,135830000,0.0,0.0,,,,,,100.68419760244866,100.33117668902757,100.0602817039049,99.85489151430386,99.73758999961962,,,,,0.26398914596715883,0.09889448594933982,0.16509466001781903,,,,294290000,0.0,
2004-06-14 00:00:00+07:00,101.10026098976674,101.10026098976674,98.29192040671768,99.6960906982422,158540000,0.0,0.0,100.53858184814453,,,,,100.35482863437986,100.21570650888478,100.02559684622275,99.84866403132105,99.7371770712477,,,,,0.20028214371293984,0.11917201750205983,0.08111012621088001,,,,135750000,-0.013888709662691623,
2004-06-15 00:00:00+07:00,98.29192906209867,102.5044403076172,98.29192906209867,102.5044403076172,297620000,0.0,0.0,101.10025177001954,,,,,101.07136585879232,100.63183992683612,100.26167717587937,99.95281212058758,99.76471202882351,,,,,0.3721147216837295,0.16976055833839376,0.20235416334533574,,,,433370000,0.028169104622920882,
2004-06-16 00:00:00+07:00,102.504412651062,102.504412651062,99.69607257843018,101.1002426147461,104270000,0.0,0.0,101.10025177001954,,,,,101.08099144411025,100.71700405191066,100.34154055100953,99.99780939486831,99.77800089037498,,,,,0.39048499135563475,0.21390544494184197,0.17657954641379278,,,,329100000,-0.01369889624934384,
2004-06-17 00:00:00+07:00,99.6960906982422,99.6960906982422,98.29192040671768,99.6960906982422,350150000,0.0,0.0,100.81942138671876,,,,,100.61935786215423,100.53138344215276,100.28006913646027,99.98597728911827,99.77718586358759,,,,,0.2884155626725686,0.2288074684879873,0.05960809418458132,,,,-21050000,-0.013888709662691623,
2004-06-18 00:00:00+07:00,98.29192040671768,99.6960906982422,98.29192040671768,99.6960906982422,263260000,0.0,0.0,100.53859100341798,,,,,100.31160214085023,100.37951203416901,100.22445214234428,99.97460918751528,99.77637894651947,,,,,0.20515985002715809,0.2240779447958215,-0.018918094768663407,,,,-21050000,0.0,
2004-06-21 00:00:00+07:00,99.6960906982422,99.6960906982422,98.29192040671768,99.6960906982422,331870000,0.0,0.0,100.53859100341796,100.53858642578126,,,,100.1064316599809,100.25525360945502,100.17413200481076,99.9636868938183,99.77558005847692,,,,,0.13759301134454915,0.20678095810556704,-0.06918794676101789,,,,-21050000,0.0,
2004-06-22 00:00:00+07:00,99.6960906982422,101.10026098976674,99.6960906982422,99.6960906982422,56870000,0.0,0.0,99.97692108154298,100.53858642578126,,,,99.96965133940134,100.15358762559813,100.12860426132805,99.95319292536433,99.7747891195691,,,,,0.0830880179454141,0.18204237007353646,-0.09895435212812237,,,,-21050000,0.0,
2004-06-23 00:00:00+07:00,101.1002426147461,101.1002426147461,99.69607257843018,101.1002426147461,469190000,0.0,0.0,99.97692108154298,100.53858642578126,,,,100.3465150978496,100.32570671453412,100.22114124736785,99.9981752661244,99.78797771156091,,,,,0.15144992223477516,0.17592388050578422,-0.024473958271009066,,,,448140000,0.014084322731910737,
2004-06-24 00:00:00+07:00,101.1002426147461,101.1002426147461,99.69607257843018,101.1002426147461,191310000,0.0,0.0,100.25775146484376,100.53858642578126,,,,100.59775760348178,100.46653142366357,100.30486518711817,100.04139359352135,99.80103507378166,,,,,0.20328389371806566,0.1813958831482405,0.021888010569825145,,,,448140000,0.0,
2004-06-25 00:00:00+07:00,101.10026989244436,102.5044403076172,101.10026989244436,102.5044403076172,154310000,0.0,0.0,100.81942138671876,100.67900619506837,,,,101.23331850486026,100.83706031165514,100.5143485319276,100.1379836607408,99.8279346283472,,,,,0.3535936999386564,0.2158354465063237,0.13775825343233272,100.0,,2.206555797892013,602450000,0.013889162444663539,
2004-06-28 00:00:00+07:00,102.5044403076172,102.5044403076172,101.10026989244436,102.5044403076172,260860000,0.0,0.0,101.38109130859375,100.95984115600587,,,,101.65702577244592,101.14022031092097,100.70388108199327,100.23078588218694,99.85456652565337,,,,62.500050938006446,0.4673282352973587,0.2661340042645307,0.20119423103282796,100.0,,2.106257928757998,602450000,0.0,
2004-06-29 00:00:00+07:00,102.5044596904033,103.90863037109376,102.5044596904033,103.90863037109376,123060000,0.0,0.0,102.22359924316406,101.10026016235352,,,,102.40756063866188,101.64356759458875,101.00909530000284,100.37501507783034,99.8949054693891,,,,62.50017828241709,0.6631259733594703,0.34553239808351865,0.31759357527595167,100.0,100.0,1.905663639795771,725510000,0.013698821819450702,
2004-06-30 00:00:00+07:00,103.90860432942708,105.31277465820312,102.50443400065105,105.31277465820312,291260000,0.0,0.0,103.06610565185547,101.52151336669922,,,,103.3759653118423,102.31069615160953,101.41896952459334,100.5686527084332,99.94881461554645,,,,66.66674716120907,0.9209832785238632,0.4606225741715876,0.4603607043522756,100.0,100.0,2.0059615413126397,1016770000,0.013513259505920416,
