date,forecast,lower_ci,upper_ci,actual
2025-01-02,9044.283847089915,8812.433465360262,9268.661745601801,9604.4775390625
2025-01-03,9053.876844603288,8808.575782186488,9292.239254361486,9555.970703125
2025-01-06,9067.437291187398,8830.950401694847,9314.853260305266,9386.1943359375
2025-01-07,9082.52027359181,8837.156131215334,9336.305214675005,9240.671875
2025-01-08,9104.204599934013,8851.48942455842,9343.67708888708,9386.1943359375
2025-01-09,9117.340138933403,8851.684101945577,9345.967015019593,9555.970703125
2025-01-10,9125.47790743388,8886.93200222843,9373.063812762846,9434.7021484375
2025-01-13,9129.724239411926,8869.511234126418,9389.987148369148,9386.1943359375
2025-01-14,9140.292175335004,8878.73240278885,9396.338461598323,9240.671875
2025-01-15,9156.907963916814,8888.73703766974,9411.896973694358,9507.462890625
2025-01-16,9164.507949096751,8892.492195809376,9426.7620528448,9458.955078125
2025-01-17,9166.769833589115,8895.200007128853,9424.229385861254,9604.4775390625
2025-01-20,9152.664661896606,8882.626958527359,9420.473674679426,9337.6865234375
2025-01-21,9157.340153128887,8900.425715116557,9428.462863015959,9289.1796875
2025-01-22,9168.390830489861,8894.431561369534,9430.94883154326,9313.4326171875
2025-01-23,9170.84470973111,8918.088263722888,9447.287708300719,9313.4326171875
2025-01-24,9168.488776107823,8902.549848656947,9443.146954455213,9070.8955078125
2025-01-30,9158.978003023385,8887.086436519392,9429.422972202945,8876.8662109375
2025-01-31,9157.154101688586,8870.814965346737,9452.437523299746,9167.9111328125
2025-02-03,9138.55780173535,8862.445501674794,9417.469888378622,9070.8955078125
2025-02-04,9144.241908699518,8874.055992694364,9429.957121875406,8901.1201171875
2025-02-05,9157.40370673652,8884.90279468187,9446.18800595863,8852.6123046875
2025-02-06,9162.881133664157,8870.106488349302,9436.465978774251,8682.8359375
2025-02-07,9164.302736943773,8873.9230460273,9454.907806728674,9070.8955078125
2025-02-10,9154.194479094169,8862.536862381456,9455.200488899725,8876.8662109375
2025-02-11,9161.874860960055,8876.08702988971,9446.974668160101,8804.1044921875
2025-02-12,9176.419348238931,8880.952819196356,9491.983447523868,8876.8662109375
2025-02-13,9182.541660340634,8892.711184130801,9479.365015387888,8731.34375
2025-02-14,9183.792838772615,8885.420068840072,9473.938114553326,8707.08984375
2025-02-17,9167.76289889335,8871.176975523322,9462.260171493732,9046.6416015625
