date,forecast,actual,lower_ci,upper_ci
2025-01-02 00:00:00+07:00,7877.08048071585,9604.4775390625,7780.168952158921,7973.99200927278
2025-01-03 00:00:00+07:00,7878.814254147321,9555.970703125,7748.721821564726,8008.906686729915
2025-01-06 00:00:00+07:00,7880.548027578791,9386.1943359375,7724.163125291923,8036.932929865659
2025-01-07 00:00:00+07:00,7882.281801010262,9240.671875,7703.4286928144875,8061.134909206036
2025-01-08 00:00:00+07:00,7884.0155744417325,9386.1943359375,7685.217609262745,8082.81353962072
2025-01-09 00:00:00+07:00,7885.749347873203,9555.970703125,7668.832710412353,8102.665985334053
2025-01-10 00:00:00+07:00,7887.483121304674,9434.7021484375,7653.848739726665,8121.117502882682
2025-01-13 00:00:00+07:00,7889.216894736144,9386.1943359375,7639.983628691351,8138.450160780937
2025-01-14 00:00:00+07:00,7890.950668167615,9240.671875,7627.038907248609,8154.862429086621
2025-01-15 00:00:00+07:00,7892.684441599085,9507.462890625,7614.868649752425,8170.500233445746
2025-01-16 00:00:00+07:00,7894.418215030556,9458.955078125,7603.361844463953,8185.474585597159
2025-01-17 00:00:00+07:00,7896.151988462027,9604.4775390625,7592.431710088291,8199.872266835762
2025-01-20 00:00:00+07:00,7897.885761893497,9337.6865234375,7582.008880587764,8213.76264319923
2025-01-21 00:00:00+07:00,7899.619535324968,9289.1796875,7572.036872793124,8227.202197856812
2025-01-22 00:00:00+07:00,7901.353308756438,9313.4326171875,7562.468966480982,8240.237651031895
2025-01-23 00:00:00+07:00,7903.087082187909,9313.4326171875,7553.2659935047295,8252.90817087109
2025-01-24 00:00:00+07:00,7904.8208556193795,9070.8955078125,7544.394731794398,8265.246979444362
2025-01-30 00:00:00+07:00,7906.55462905085,8876.8662109375,7535.826713479986,8277.282544621714
2025-01-31 00:00:00+07:00,7908.288402482321,9167.9111328125,7527.537323650581,8289.039481314061
2025-02-03 00:00:00+07:00,7910.022175913791,9070.8955078125,7519.505107554994,8300.53924427259
2025-02-04 00:00:00+07:00,7911.755949345262,8901.1201171875,7511.711230185558,8311.800668504966
2025-02-05 00:00:00+07:00,7913.489722776732,8852.6123046875,7504.139049178188,8322.840396375277
2025-02-06 00:00:00+07:00,7915.223496208203,8682.8359375,7496.773773274134,8333.673219142273
2025-02-07 00:00:00+07:00,7916.9572696396735,9070.8955078125,7489.6021862820335,8344.312352997313
2025-02-10 00:00:00+07:00,7918.691043071144,8876.8662109375,7482.612421811592,8354.769664330695
2025-02-11 00:00:00+07:00,7920.424816502615,8804.1044921875,7475.793777811378,8365.055855193852
2025-02-12 00:00:00+07:00,7922.158589934085,8876.8662109375,7469.136562637769,8375.180617230402
2025-02-13 00:00:00+07:00,7923.892363365556,8731.34375,7462.631966340535,8385.152760390578
2025-02-14 00:00:00+07:00,7925.626136797026,8707.08984375,7456.271952292726,8394.980321301327
2025-02-17 00:00:00+07:00,7927.359910228497,9046.6416015625,7450.049165367549,8404.670655089445
