Date,original,trend,seasonal,residual
2003-09-28 00:00:00+07:00,23.37495422363281,,0.995752432114514,
2003-10-05 00:00:00+07:00,23.799953460693356,,0.9922091210805379,
2003-10-12 00:00:00+07:00,25.499950790405272,,0.9928129272021142,
2003-10-19 00:00:00+07:00,27.83744659423828,,0.9696904416188091,
2003-10-26 00:00:00+07:00,28.474948120117187,,0.9977048999370038,
2003-11-02 00:00:00+07:00,25.287450790405273,,0.9999168584001639,
2003-11-09 00:00:00+07:00,25.712450408935545,,1.013683990030109,
2003-11-16 00:00:00+07:00,25.924950408935548,,1.0250194793407654,
2003-11-23 00:00:00+07:00,24.86245193481445,,1.0146692152193135,
2003-11-30 00:00:00+07:00,26.562450408935547,,1.007304030286924,
2003-12-07 00:00:00+07:00,27.83744697570801,,1.00536247148243,
2003-12-14 00:00:00+07:00,30.17494316101074,,0.9967673439808471,
2003-12-21 00:00:00+07:00,30.812441635131837,,0.9995357966962249,
2003-12-28 00:00:00+07:00,35.699928283691406,,1.0065138739687234,
2004-01-04 00:00:00+07:00,38.24992446899414,,1.0067310857112388,
2004-01-11 00:00:00+07:00,38.249925994873045,,1.0130315228380347,
2004-01-18 00:00:00+07:00,37.18742752075195,,1.0210694744451112,
2004-01-25 00:00:00+07:00,36.33742752075195,,1.0035100938601036,
2004-02-01 00:00:00+07:00,35.48742752075195,,0.9961440840285984,
2004-02-08 00:00:00+07:00,33.99993133544922,,1.0002414542044642,
2004-02-15 00:00:00+07:00,35.06242752075195,,0.9886399730110438,
2004-02-22 00:00:00+07:00,35.06242752075195,,0.9743029777998222,
2004-02-29 00:00:00+07:00,34.424929809570315,,0.9688495079041246,
2004-03-07 00:00:00+07:00,35.69992904663086,,0.9656791836103706,
2004-03-14 00:00:00+07:00,34.637429809570314,,0.9676037580447733,
2004-03-21 00:00:00+07:00,33.36243362426758,,0.970126390751558,
2004-03-28 00:00:00+07:00,33.57493286132812,32.250058841705325,0.9726500594834875,1.0703554478242354
2004-04-04 00:00:00+07:00,33.36243362426758,32.55160578947801,0.964138687403569,1.0630306717215836
2004-04-11 00:00:00+07:00,33.99993133544922,32.861508864622856,0.9634037021675569,1.0739454652023952
2004-04-18 00:00:00+07:00,35.0624282836914,33.172451283381534,0.9818270188151479,1.0765382027502406
2004-04-25 00:00:00+07:00,36.12492752075195,33.44592986473671,0.9969664898429357,1.0833858242712915
2004-05-02 00:00:00+07:00,35.699927520751956,33.72178241656377,1.0045176428498317,1.0538996096335165
2004-05-09 00:00:00+07:00,32.299937057495114,34.083989510169395,1.0156936862805788,0.9330147300009973
2004-05-16 00:00:00+07:00,28.89994659423828,34.57293810477624,1.0214959207995222,0.818321788636706
2004-05-23 00:00:00+07:00,29.112446594238282,35.14535365471473,1.0012756584074973,0.8272887692945903
2004-05-30 00:00:00+07:00,30.38744239807129,35.76035881776077,0.9817993515436325,0.8655049177446101
2004-06-06 00:00:00+07:00,31.87493896484375,36.457484160936794,0.9949079724205117,0.8787791718941219
2004-06-13 00:00:00+07:00,31.33140411376953,37.15530635026785,1.008695266023317,0.8359860473379415
2004-06-20 00:00:00+07:00,31.091875076293945,37.78466142140902,1.008703575544791,0.8157701667690876
2004-06-27 00:00:00+07:00,30.86156768798828,38.4504878777724,1.0168899427327052,0.7893001339998384
2004-07-04 00:00:00+07:00,31.322186279296876,39.12474363767184,1.0189480776240203,0.7856850851339243
2004-07-11 00:00:00+07:00,33.1646728515625,39.77375699556791,1.0294753606944338,0.8099592039299969
2004-07-18 00:00:00+07:00,32.704052734375,40.456544670691855,1.0243367031266322,0.7891690645170196
2004-07-25 00:00:00+07:00,33.39498519897461,41.161055385149446,1.0077047678416438,0.8051215296797738
2004-08-01 00:00:00+07:00,32.704052734375,41.894357952704794,1.005446257250155,0.7764029440575768
2004-08-08 00:00:00+07:00,32.934363555908206,42.664582399221565,1.020779106017039,0.7562232126625857
2004-08-15 00:00:00+07:00,32.473741912841795,43.427336700146014,1.0170185549638036,0.735258853035171
2004-08-22 00:00:00+07:00,32.243431091308594,44.17898570574248,1.01607680821553,0.7182885941061082
2004-08-29 00:00:00+07:00,32.243431091308594,44.98299152667706,1.0115467397817945,0.708609484505515
2004-09-05 00:00:00+07:00,35.69808502197266,45.82176072780903,1.0087043104317681,0.7723413193432754
2004-09-12 00:00:00+07:00,38.922428894042966,46.680044434620775,1.0097484088517237,0.8257631447557534
2004-09-19 00:00:00+07:00,38.00118713378906,47.575027729914744,1.0043775433186521,0.7952819395977085
2004-09-26 00:00:00+07:00,39.152739715576175,48.464670126254745,0.995752432114514,0.8113075552439541
2004-10-03 00:00:00+07:00,39.383050537109376,49.28052706351647,0.9922091210805379,0.8054355485792526
