lag,acf,pacf
0,1.0,1.0
1,0.015024186205839314,0.015026997617928733
2,-0.01493170667193439,-0.015166531353228308
3,-0.0020767356564265205,-0.001622867137676328
4,0.0061563719398468626,0.005993586844490021
5,-0.03154455033209571,-0.03183065944140589
6,-0.023747206989609023,-0.022657224364023044
7,-0.008945959768678197,-0.009202083203504907
8,0.02010594223870418,0.019574095354813664
9,-0.002503871686684237,-0.0030794358454304524
10,0.015949390122214555,0.015940463782802002
11,0.007902129840628555,0.006114481207465954
12,0.009211768508904934,0.008160869421069066
13,0.015571275775372347,0.01653162052801773
14,0.022833188531422664,0.023240298360094048
15,-0.013115026868851328,-0.012191765692049673
16,0.03749037986691336,0.03949019448121337
17,0.010765690005433383,0.010503090462781407
18,0.007467715050216292,0.008972666183530448
19,-0.003021773175654354,-0.00046903459634027036
20,0.0011419056602480161,0.0010675144851218844
21,0.005514608965235364,0.00679367344995511
22,-0.010078012555257372,-0.009372074118015971
23,-0.006217912409192671,-0.004090659557661171
24,-0.02590463317322276,-0.028560667746287183
25,0.01632773775950389,0.01667428481700331
26,0.021545415749316153,0.018897902487327947
27,0.03682263260079503,0.03545827565320167
28,0.01444565244772869,0.012658500977086297
29,-0.04276860383506476,-0.045897288142370686
30,-0.008618911739363785,-0.009527934637870456
31,-0.0234303239342813,-0.023562441435808806
32,0.0062538054236845955,0.009711839229188128
33,-0.03263022925625759,-0.03190447831992683
34,-0.009122636880912081,-0.010266164025008994
35,0.02234304722749142,0.018497736001710594
36,0.0029198991613863167,-0.000882402116667018
37,-0.020865153268604258,-0.020426286059515148
38,0.005112210450994119,0.0037276401180325065
39,0.013868530002631694,0.01101091265907508
40,0.017360896030850954,0.018758574694540744
