Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA10,MA20,MA50,MA200,EMA5,EMA10,EMA20,EMA50,EMA200,BB_Upper,BB_Middle,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,%K,%D,ATR,OBV,Return,Volatility_21,Close_lag_1,Volume_lag_1,Close_change_1,Close_lag_2,Volume_lag_2,Close_change_2,Close_lag_3,Volume_lag_3,Close_change_3,Close_lag_5,Volume_lag_5,Close_change_5,Close_lag_10,Volume_lag_10,Close_change_10,Close_rolling_mean_5,Volume_rolling_mean_5,Close_rolling_std_5,Close_rolling_min_5,Close_rolling_max_5,Close_rolling_mean_10,Volume_rolling_mean_10,Close_rolling_std_10,Close_rolling_min_10,Close_rolling_max_10,Close_rolling_mean_20,Volume_rolling_mean_20,Close_rolling_std_20,Close_rolling_min_20,Close_rolling_max_20,golden_cross,death_cross,macd_cross_above,macd_cross_below,roc_5,roc_10,roc_20,atr_ratio,bb_width,bb_position,day_of_week,day_of_month,month,quarter,year,is_month_end,is_month_start,next_day_return,next_day_direction,target_close_1d,target_return_1d,target_direction_1d,target_close_3d,target_return_3d,target_direction_3d,target_close_5d,target_return_5d,target_direction_5d,target_close_10d,target_return_10d,target_direction_10d
2003-10-03 00:00:00+07:00,23.374954541524254,25.499950408935547,23.374954541524254,25.499950408935547,312840000,0.0,0.0,23.79995346069336,23.906203269958496,23.268703269958497,22.7842036819458,22.22929991722107,24.127455420613146,23.81667322528536,23.43244561996275,23.061446775729703,22.77119734634325,25.32550215623208,23.268703269958497,21.21190438368492,80.00001436122866,0.4341390106634293,0.3278723835816306,0.1062666270817986,100.0,66.66669503727728,1.214283658748437,269822500,0.0909091057450841,0.0302356338496682,23.37495422363281,14482500.0,0.0909091057450841,23.37495422363281,80000.0,0.0909091057450841,23.37495422363281,1680000.0,0.0909091057450841,23.37495422363281,8352500.0,0.0909091057450841,24.43745231628418,69997500.0,0.0434782676565412,23.79995346069336,66676500.0,0.9503271844529526,23.37495422363281,25.499950408935547,23.906203269958496,38892750.0,0.7512996063115305,23.37495422363281,25.499950408935547,23.268703269958497,26167125.0,1.028399443136789,21.24995803833008,25.499950408935547,0,0,1,0,9.090910574508417,4.347826765654128,14.28573626721008,0.0476190596167957,0.1767867218392912,1.0424077078871636,4,3,10,4,2003,0,0,-0.0833333457996886,0,23.37495422363281,-0.0833333457996886,0,25.499950408935547,0.0,0,28.68744659423828,0.1250000934976638,1,27.62494659423828,0.0833333457996885,1
2003-10-10 00:00:00+07:00,26.562450550220632,28.68744659423828,25.499952528211807,28.68744659423828,429205000,0.0,0.0,25.499950790405272,24.64995212554932,24.11870260238648,23.017953376770016,22.28544148445129,26.136853529078465,25.18337916459176,24.33948027597176,23.52056089471385,22.905422844371984,26.969685816836115,24.11870260238648,21.267719387936832,70.00000538546364,0.8995274695572135,0.5201079332084663,0.3794195363487472,100.0,91.66666726165174,1.5937471317971212,685650000,0.1250000934976638,0.043309698112441,25.499950408935547,116457500.0,0.1250000934976638,25.499950408935547,70192500.0,0.1250000934976638,24.43745231628418,16462500.0,0.1739131486763891,25.499950408935547,312840000.0,0.1250000934976638,23.37495422363281,8352500.0,0.2272728459606725,25.499950790405272,146470000.0,1.987752683041698,23.37495422363281,28.68744659423828,24.64995212554932,106573250.0,1.7205330972426809,23.37495422363281,28.68744659423828,24.118702602386477,62589375.0,1.4254916072248214,22.31245231628418,28.68744659423828,0,0,0,0,12.500009349766383,22.727284596067253,28.571463986060696,0.0555555589990088,0.2364126513312158,1.3012576097775737,4,10,10,4,2003,0,0,-0.0370371059867488,0,27.62494659423828,-0.0370371059867488,0,28.68744659423828,0.0,0,27.62494659423828,-0.0370371059867488,0,26.562450408935547,-0.0740740789990535,0
2003-10-23 00:00:00+07:00,28.68744644165039,29.74994445800781,26.562450408935547,26.562450408935547,103950000,0.0,0.0,28.68744735717773,28.36869697570801,26.243699932098387,24.101702270507808,22.59479491233826,28.26007888499005,27.87492794917171,26.743159617874674,24.983559687112457,23.3731930979237,31.074702788566263,26.243699932098387,21.41269707563051,53.33333652471711,1.421082745922682,1.3167663048680764,0.1043164410546055,37.5000056098565,63.42593435645117,2.276782179441595,412812500,-0.1071429212555313,0.0537126154748469,29.74994659423828,61190000.0,-0.1071429212555313,29.74994659423828,196485000.0,-0.1071429212555313,29.74994659423828,144595000.0,-0.1071429212555313,27.62494659423828,140442500.0,-0.0384614747282203,25.499950408935547,116457500.0,0.0416667476979752,28.68744735717773,118776500.0,1.5026005613226374,26.562450408935547,29.74994659423828,28.36869697570801,160831000.0,1.1255585943787534,26.562450408935547,29.74994659423828,26.243699932098387,112659500.0,2.4155014282339384,23.37495422363281,29.74994659423828,0,0,0,0,-3.846147472822037,4.166674769797529,13.63637402155886,0.085714312662799,0.3681647686086464,0.532990094014373,3,23,10,4,2003,0,0,0.0,0,26.562450408935547,0.0,0,25.499950408935547,-0.0400000746784482,0,25.499950408935547,-0.0400000746784482,0,25.499950408935547,-0.0400000746784482,0
2003-11-04 00:00:00+07:00,24.437452756441555,27.62494659423828,23.374954810509315,27.62494659423828,75622500,0.0,0.0,25.28745079040528,26.031200218200684,26.93432378768921,24.526701698303217,22.747683868408203,25.70707843254453,25.96522710786159,26.044848392090724,25.12128486564244,23.536412284656457,30.60036982112557,26.93432378768921,23.268277754252843,46.15384190496181,0.1688886502456057,0.543454771868082,-0.3745661216224762,49.99997756057412,20.833323414456643,2.276782038408131,439270000,0.1818182114901683,0.0622449356536057,23.37495422363281,3370000.0,0.1818182114901683,24.43745231628418,13995000.0,0.1304348029696236,25.499950408935547,7400000.0,0.0833333457996885,25.499950408935547,50810000.0,0.0833333457996885,29.74994659423828,196485000.0,-0.0714286996539197,25.287450790405277,26369500.0,1.5759393494526324,23.37495422363281,27.62494659423828,26.031200218200684,41775750.0,1.7530334423074594,23.37495422363281,29.74994659423828,26.93432378768921,102378875.0,1.833023016718183,23.37495422363281,29.74994659423828,0,0,0,0,8.333334579968854,-7.142869965391974,13.04348029696236,0.0824176086871783,0.2722211303565002,0.5941917804973277,1,4,11,4,2003,0,0,-0.0384614747282203,0,26.562450408935547,-0.0384614747282203,0,25.499950408935547,-0.0769230875452966,0,26.562450408935547,-0.0384614747282203,0,24.43745231628418,-0.1153846313179448,0
2003-12-05 00:00:00+07:00,28.687444949972218,30.81244087219238,27.62494698886213,30.812440872192383,183300000,0.0,0.0,27.83744697570801,27.199948692321776,26.29682493209839,26.179949989318843,23.311653604507445,28.438403997511152,27.500370955920303,26.78423222202069,25.93129540714209,24.10259267944055,29.37044376835459,26.29682493209839,23.223206095842187,79.99997845815695,0.7167089695904565,0.2873618433082669,0.4293471262821896,100.00000000000004,93.3333235510433,0.8348204630502263,628985000,0.1153846313179449,0.0418421557141629,27.62494659423828,35335000.0,0.1153846313179449,28.68744659423828,96022500.0,0.0740740125118313,26.562450408935547,14822500.0,0.1599999396827918,26.562450408935547,0.0,0.1599999396827918,26.562450408935547,10570000.0,0.1599999396827918,27.83744697570801,66429500.0,2.043755788536171,25.499950408935547,30.812440872192383,27.199948692321776,33214750.0,1.5192026968082013,25.499950408935547,30.812440872192383,26.29682493209839,20229375.0,1.5368094181281002,24.43745231628418,30.812440872192383,0,0,0,0,15.99999396827918,15.99999396827918,20.833336449922136,0.0270936167151767,0.2337634938204639,1.2345764358983116,4,5,12,4,2003,0,0,0.0,0,30.812440872192383,0.0,0,28.68744659423828,-0.0689654638776724,0,30.812440872192383,0.0,0,31.87493896484375,0.0344827628897861,1
2003-12-29 00:00:00+07:00,36.12492638665277,40.37491772625897,36.12492638665277,39.31241989135742,84327500,0.0,0.0,36.76242599487305,34.212432289123534,31.82181348800659,28.32619567871094,24.39514789581299,36.64272297488778,34.821732241784005,32.51227786406574,29.3588400267404,25.38812122391469,38.55841524328315,31.82181348800659,25.08521173273003,78.57144230987461,2.658948709535519,1.9645784294074728,0.694370280128046,90.9090869795556,96.96969565985188,1.6696397741794515,892057500,0.0882352599537927,0.0465497733326911,36.12492752075195,0.0,0.0882352599537927,36.12492752075195,0.0,0.0882352599537927,36.12492752075195,0.0,0.0882352599537927,33.99993133544922,60992500.0,0.156249978963024,29.74994659423828,107305000.0,0.3214282508652004,36.76242599487305,31610500.0,1.42548992368717,36.12492752075195,39.31241989135742,34.212432289123534,40843500.0,2.996836891511637,30.812440872192383,39.31241989135742,31.82181348800659,59635375.0,3.3683008776382803,26.562450408935547,39.31241989135742,0,0,0,0,15.624997896302409,32.14282508652004,54.16665233035823,0.0424710505940264,0.4233952133378907,1.0559632790734352,0,29,12,4,2003,0,0,-0.0540539701315266,0,37.18742752075195,-0.0540539701315266,0,37.18742752075195,-0.0540539701315266,0,39.31241989135742,0.0,0,37.18742752075195,-0.0540539701315266,0
2004-03-02 00:00:00+07:00,33.999931784237134,36.12492752075195,33.999931784237134,36.12492752075195,25590000,0.0,0.0,34.424930572509766,34.63742942810059,34.69055404663086,35.95492782592773,27.62069540023804,34.66956294887191,34.6407937815556,34.79691254771639,34.3420926819291,29.19265411648534,36.27401370728014,34.69055404663086,33.107094385981576,57.14287912437362,-0.1802416974793672,-0.1902105980889376,0.0099689006095703,100.0,44.4444892225661,1.5178539602804106,728102500,0.0967741524522225,0.0338578290553073,32.937435150146484,3777500.0,0.0967741524522225,33.99993133544922,34442500.0,0.0625000140246505,35.06242752075195,4340000.0,0.0303030929438969,33.99993133544922,17272500.0,0.0625000140246505,35.06242752075195,8410000.0,0.0303030929438969,34.424930572509766,15247500.0,1.211433378028567,32.937435150146484,36.12492752075195,34.63742942810059,12150750.0,0.8959761572290412,32.937435150146484,36.12492752075195,34.69055404663086,9540750.0,0.7917298303246413,32.937435150146484,36.12492752075195,0,0,1,0,6.250001402465055,3.030309294389699,9.677415245222251,0.0420168029239222,0.0912905373907147,0.9529239076204014,1,2,3,1,2004,0,0,0.0294118237161762,1,37.18742752075195,0.0294118237161762,1,36.12492752075195,0.0,0,35.06242752075195,-0.0294118237161762,0,32.937435150146484,-0.0882352599537926,0
2004-05-04 00:00:00+07:00,35.062432861328126,35.062432861328126,31.87493896484375,31.87493896484375,47072500,0.0,0.0,34.637429809570314,35.48742866516113,35.11555404663086,34.55243049621582,30.05912777900696,34.21805267929504,34.852420527617326,34.95254348102795,34.680655719662106,31.15403842759348,37.64637003717549,35.11555404663086,32.58473805608623,33.333373225640074,0.0300146795031466,0.3512364898057095,-0.3212218103025628,0.0,22.22219159784066,1.062498793469636,686680000,-0.0909089524398065,0.0307994511619907,35.06242752075195,0.0,-0.0909089524398065,35.06242752075195,16052500.0,-0.0909089524398065,35.06242752075195,11625000.0,-0.0909089524398065,36.12492752075195,1540000.0,-0.1176469780726009,36.12492752075195,4870000.0,-0.1176469780726009,34.637429809570314,15050000.0,1.6113561269546972,31.87493896484375,36.12492752075195,35.48742866516113,14776500.0,1.434262482429925,31.87493896484375,37.18742752075195,35.11555404663086,13450875.0,1.2654079952723167,31.87493896484375,37.18742752075195,0,0,0,0,-11.764697807260092,-11.764697807260092,-6.249990182744558,0.0333333593090644,0.1441421648756497,-0.1402312720273536,1,4,5,2,2004,0,0,0.0,0,31.87493896484375,0.0,0,31.87493896484375,0.0,0,28.68744659423828,-0.0999999521291975,0,28.68744659423828,-0.0999999521291975,0
2004-05-10 00:00:00+07:00,31.874940660264755,31.874940660264755,28.68744659423828,28.68744659423828,18415000,0.0,0.0,31.02494087219238,33.25618419647217,34.478056049346925,34.297431297302246,30.20787752151489,31.11787166006668,32.50035937613402,33.55082590693325,34.10229965155516,31.140226454270337,38.97132785623945,34.478056049346925,29.984784242454403,18.18183746860926,-0.9610409051307442,-0.2317933978681466,-0.7292475072625977,0.0,5.555557217736524,1.2142838229814112,657665000,-0.0999999521291975,0.0371085457816666,31.87493896484375,2882500.0,-0.0999999521291975,30.812440872192383,13482500.0,-0.0689654638776724,31.87493896484375,20850000.0,-0.0999999521291975,35.06242752075195,0.0,-0.1818180136769079,36.12492752075195,16162500.0,-0.2058822380263936,31.02494087219238,20540500.0,1.3853272196489532,28.68744659423828,31.87493896484375,33.25618419647217,13242000.0,2.5563794111427494,28.68744659423828,36.12492752075195,34.478056049346925,13886125.0,2.2466359034462617,28.68744659423828,37.18742752075195,0,0,0,0,-18.1818013676908,-20.58822380263936,-18.1818013676908,0.0423280551997713,0.2606453101915897,-0.1443644747048298,0,10,5,2,2004,0,0,0.0,0,28.68744659423828,0.0,0,29.74994659423828,0.0370371059867489,1,27.62494659423828,-0.0370371059867488,0,28.68744659423828,0.0,0
2004-10-04 00:00:00+07:00,40.30429273038297,42.60739517211914,40.30429273038297,42.60739517211914,214690000,0.0,0.0,40.07398147583008,39.84367103576661,39.09516201019287,35.582930450439456,34.1611796283722,40.43575917830949,39.77485445034333,38.74899389816805,36.51983065730393,33.15344205563803,41.93805801574228,39.09516201019287,36.25226600464347,66.66668507033606,1.3785882340439173,1.3212152682392606,0.0573729658046566,100.0,77.77779597366249,1.3983121648638457,1869717500,0.0882353227738732,0.0335476727815599,39.152740478515625,8407500.0,0.0882353227738732,39.152740478515625,1557500.0,0.0882353227738732,40.304290771484375,2512500.0,0.0571429085228869,39.152740478515625,10007500.0,0.0882353227738732,36.84963607788086,0.0,0.1562500938155642,40.07398147583008,49067500.0,1.5014394970834386,39.152740478515625,42.60739517211914,39.84367103576661,41722750.0,1.1125043287963212,39.152740478515625,42.60739517211914,39.09516201019287,45393875.0,1.4214480027747045,36.84963607788086,42.60739517211914,0,0,1,0,8.823532277387326,15.62500938155642,12.121223680539917,0.0328185320697298,0.1454346706535303,1.1177210061624308,0,4,10,4,2004,0,0,0.0,0,42.60739517211914,0.0,0,41.455841064453125,-0.0270270947804749,0,43.75894546508789,0.027027005249133,1,42.60739517211914,0.0,0
