lag,acf,pacf
0,1.0,1.0
1,-0.03223923940575184,-0.032245707952984135
2,-0.02550466059031244,-0.02658232285929915
3,-0.04871502549340369,-0.050534358712515624
4,-0.05715427186446559,-0.06149378271325373
5,-0.026936605870384576,-0.034175501239944006
6,-0.025652110668826507,-0.03420637551110883
7,-0.011754495910296304,-0.02226374421650525
8,0.002223723238596888,-0.007881503970503375
9,-0.007100504897063366,-0.015497503965646734
10,-0.004349789179655806,-0.0120297848942314
11,-0.022470169598397795,-0.02850935098095344
12,-0.007096974659289179,-0.01348288622874387
13,0.0370673424049197,0.03148393464272239
14,0.028922895224035405,0.026569962743676047
15,0.011377291064126794,0.010696039266705454
16,-0.017111138518335667,-0.014456460774449936
17,-0.02845193228537601,-0.024577787205091878
18,0.016045128815416688,0.018473629886251623
19,-0.010569374890890403,-0.00789153097215067
20,-0.016366012352611488,-0.018054870280204086
21,-0.029168432986984825,-0.03298593917148477
22,-0.016125085134196675,-0.021450088022038134
23,0.0022866940329343065,-0.004925916547397874
24,0.003294260090327063,-0.002054300272190135
25,0.023496228516703552,0.018355566642346017
26,0.03607720276188805,0.031789536908279147
27,0.016283103035414317,0.014551504017219713
28,0.0011720148237882595,0.0018394817310408895
29,-0.008668297426478911,-0.0016123384333080846
30,-0.03740186134475577,-0.02952598251874766
31,-0.0265381324593825,-0.025848803045026472
32,0.00012443647894850286,-0.003083568655928131
33,-0.03297390354831463,-0.03881045384853017
34,-0.029520935204305807,-0.037407427859241636
35,-0.016659558203384234,-0.02399368672673067
36,0.013091206446817936,0.0030011528763148883
37,0.021291560980088463,0.01112160180851691
38,0.016716974759438768,0.0073987192087602485
39,0.00606926857375298,-0.001845627836884878
40,-0.0030057989879301197,-0.00859855645105087
